date	range_ID	range	TAT
2014-11-19T02:15	2307	1245.292	80.0
2014-11-19T04:15	2302	1096.793	440.0
2014-11-19T04:15	2303	1603.76	320.0
2014-11-19T04:15	2304	1093.666	640.0
2014-11-19T04:15	2305	757.643	280.0
2014-11-19T04:15	2307	1245.291	80.0
2014-11-19T06:15	2302	1096.792	440.0
2014-11-19T06:15	2303	1603.762	320.0
2014-11-19T06:15	2304	1093.672	640.0
2014-11-19T06:15	2305	757.637	280.0
2014-11-19T06:15	2307	1245.289	80.0
2014-11-19T08:15	2302	1096.796	440.0
2014-11-19T08:15	2303	1603.76	320.0
2014-11-19T08:15	2304	1093.658	640.0
2014-11-19T08:15	2305	757.644	280.0
2014-11-19T08:15	2307	1245.288	80.0
2014-11-19T10:15	2302	1096.799	440.0
2014-11-19T10:15	2303	1603.76	320.0
2014-11-19T10:15	2304	1093.662	640.0
2014-11-19T10:15	2305	757.638	280.0
2014-11-19T10:15	2307	1245.29	80.0
2014-11-19T12:15	2302	1096.79	440.0
2014-11-19T12:15	2303	1603.763	320.0
2014-11-19T12:15	2304	1093.675	640.0
2014-11-19T12:15	2305	757.638	280.0
2014-11-19T12:15	2307	1245.291	80.0
2014-11-19T14:15	2302	1096.801	440.0
2014-11-19T14:15	2303	1603.756	320.0
2014-11-19T14:15	2304	1093.662	640.0
2014-11-19T14:15	2305	757.645	280.0
2014-11-19T14:15	2307	1245.29	80.0
2014-11-19T16:15	2302	1096.802	440.0
2014-11-19T16:15	2303	1603.761	320.0
2014-11-19T16:15	2304	1093.663	640.0
2014-11-19T16:15	2305	757.643	280.0
2014-11-19T16:15	2307	1245.287	80.0
2014-11-19T18:15	2302	1096.787	440.0
2014-11-19T18:15	2303	1603.76	320.0
2014-11-19T18:15	2304	1093.671	640.0
2014-11-19T18:15	2305	757.641	280.0
2014-11-19T18:15	2307	1245.291	80.0
2014-11-19T20:15	2302	1096.792	440.0
2014-11-19T20:15	2303	1603.755	320.0
2014-11-19T20:15	2304	1093.672	640.0
2014-11-19T20:15	2305	757.643	280.0
2014-11-19T20:15	2307	1245.29	80.0
2014-11-19T22:15	2302	1096.791	440.0
2014-11-19T22:15	2303	1603.755	320.0
2014-11-19T22:15	2304	1093.671	640.0
2014-11-19T22:15	2305	757.638	280.0
2014-11-19T22:15	2307	1245.291	80.0
2014-11-20T00:15	2302	1096.8	440.0
2014-11-20T00:15	2303	1603.756	320.0
2014-11-20T00:15	2304	1093.662	640.0
2014-11-20T00:15	2305	757.642	280.0
2014-11-20T00:15	2307	1245.288	80.0
2014-11-20T02:15	2302	1096.796	440.0
2014-11-20T02:15	2303	1603.761	320.0
2014-11-20T02:15	2304	1093.666	640.0
2014-11-20T02:15	2305	757.639	280.0
2014-11-20T02:15	2307	1245.29	80.0
2014-11-20T04:15	2302	1096.799	440.0
2014-11-20T04:15	2303	1603.763	320.0
2014-11-20T04:15	2304	1093.662	640.0
2014-11-20T04:15	2305	757.641	280.0
2014-11-20T04:15	2307	1245.287	80.0
2014-11-20T06:15	2302	1096.798	440.0
2014-11-20T06:15	2303	1603.762	320.0
2014-11-20T06:15	2304	1093.659	640.0
2014-11-20T06:15	2305	757.64	280.0
2014-11-20T06:15	2307	1245.288	80.0
2014-11-20T08:15	2302	1096.792	440.0
2014-11-20T08:15	2303	1603.761	320.0
2014-11-20T08:15	2304	1093.671	640.0
2014-11-20T08:15	2305	757.642	280.0
2014-11-20T08:15	2307	1245.289	80.0
2014-11-20T10:15	2302	1096.794	440.0
2014-11-20T10:15	2303	1603.754	320.0
2014-11-20T10:15	2304	1093.672	640.0
2014-11-20T10:15	2305	757.641	280.0
